# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
4271.00000000   2.01882491   1.93781137   0.00000388   0.44175446
4281.00000000   2.01878619   1.93779681   0.00000387   0.44174375
4291.00000000   2.01874760   1.93778231   0.00000385   0.44173308
4301.00000000   2.01870914   1.93776785   0.00000384   0.44172245
4311.00000000   2.01867082   1.93775344   0.00000382   0.44171185
4321.00000000   2.01863263   1.93773908   0.00000381   0.44170129
4331.00000000   2.01859457   1.93772477   0.00000380   0.44169076
4341.00000000   2.01855664   1.93771051   0.00000379   0.44168027
4351.00000000   2.01851885   1.93769630   0.00000377   0.44166982
4361.00000000   2.01848118   1.93768214   0.00000376   0.44165940
4371.00000000   2.01844364   1.93766802   0.00000375   0.44164901
4381.00000000   2.01840623   1.93765396   0.00000373   0.44163866
4391.00000000   2.01836895   1.93763994   0.00000372   0.44162835
4401.00000000   2.01833180   1.93762596   0.00000371   0.44161807
4411.00000000   2.01829477   1.93761204   0.00000370   0.44160783
4421.00000000   2.01825787   1.93759816   0.00000368   0.44159762
