# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
4271.00000000   2.65651206   2.18224208   0.00000031   0.66405573
4281.00000000   2.65650893   2.18224145   0.00000031   0.66405534
4291.00000000   2.65650580   2.18224082   0.00000031   0.66405494
4301.00000000   2.65650268   2.18224019   0.00000031   0.66405455
4311.00000000   2.65649958   2.18223956   0.00000031   0.66405415
4321.00000000   2.65649648   2.18223893   0.00000031   0.66405376
4331.00000000   2.65649340   2.18223831   0.00000031   0.66405337
4341.00000000   2.65649032   2.18223769   0.00000031   0.66405298
4351.00000000   2.65648726   2.18223707   0.00000031   0.66405260
4361.00000000   2.65648421   2.18223645   0.00000030   0.66405221
4371.00000000   2.65648117   2.18223584   0.00000030   0.66405182
4381.00000000   2.65647813   2.18223522   0.00000030   0.66405144
4391.00000000   2.65647511   2.18223461   0.00000030   0.66405106
4401.00000000   2.65647210   2.18223400   0.00000030   0.66405068
4411.00000000   2.65646910   2.18223340   0.00000030   0.66405030
4421.00000000   2.65646611   2.18223279   0.00000030   0.66404992
